[2026-01-12T08:10:25.549Z] GET /admin/attendance?date=2026-01-12&sessionId=d4f977c4-0592-4fec-8705-a30cfe79754a&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:27.354Z] GET /auth/me 401 (1ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:29.202Z] POST /auth/login 200 (80ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:29.728Z] GET /student/profile 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:30.346Z] GET /enrollment/my-classes 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:31.271Z] GET /student/attendance 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:31.859Z] DELETE /admin/attendance/c57f6158-13c9-4332-a77d-691d76f6c897 200 (13ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:32.585Z] GET /admin/attendance?date=2026-01-12&sessionId=d4f977c4-0592-4fec-8705-a30cfe79754a&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:34.274Z] GET /training-classes 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:34.597Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:34.636Z] GET /training-classes 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:34.805Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:34.810Z] GET /admin/attendance?date=2026-01-12 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:34.950Z] GET /admin/attendance?date=2026-01-12&sessionId=d4f977c4-0592-4fec-8705-a30cfe79754a&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:35.669Z] GET /training-classes 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:35.851Z] GET /admin/statistics/weekly-absence?startDate=2026-01-12&endDate=2026-01-18 200 (12ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:35.929Z] GET /admin/statistics/overview?startDate=2026-01-12&endDate=2026-01-18 200 (12ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:35.983Z] GET /admin/statistics/far-checkins?startDate=2026-01-12&endDate=2026-01-18 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:36.813Z] GET /student/profile 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:10:59.515Z] PUT /student/profile 200 (14ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:06.797Z] POST /face-verification/verify 201 (2018ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:12.606Z] GET /student/profile 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:13.033Z] GET /enrollment/my-classes 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:13.448Z] GET /student/attendance 304 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:16.461Z] GET /training-classes/available 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:16.460Z] GET /enrollment/my-requests 200 (155ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:18.122Z] POST /enrollment/request 201 (17ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:18.344Z] GET /enrollment/my-requests 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:30.161Z] GET /admin/students 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:38.767Z] GET /training-classes 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:39.367Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:44.535Z] GET /admin/sessions?date=2026-01-12&classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:57.907Z] GET /training-classes 304 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:11:58.653Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 304 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:02.734Z] GET /training-classes 304 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:02.930Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 304 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:02.987Z] GET /admin/attendance?date=2026-01-12 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:03.290Z] GET /admin/attendance?date=2026-01-12&sessionId=d4f977c4-0592-4fec-8705-a30cfe79754a&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:08.176Z] GET /student/profile 304 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
